Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_005;100.0;Well tested;4.669525384902954;6;3;3;66.67
program_007;100.0;Well tested;0.02669692039489746;9;1;1;66.67
program_009;66.66666666666666;Weakly tested;4.317906856536865;7;15;7;62.5
program_014;0.0;Weakly tested;0.009992361068725586;7;0;0;50.0
program_020;88.88888888888889;Well tested;0.07540369033813477;10;9;8;50.0
program_023;88.23529411764706;Well tested;15.21702790260315;10;17;12;93.33
program_030;100.0;Well tested;0.04770970344543457;9;14;14;50.0
program_033;100.0;Well tested;0.06331419944763184;6;9;9;50.0
program_036;0.0;Weakly tested;0.0;8;0;0;50.0
program_037;100.0;Well tested;0.02179265022277832;11;1;1;50.0
program_041;100.0;Well tested;0.30095577239990234;8;10;10;87.5
program_051;94.73684210526316;Well tested;0.5666337013244629;9;19;18;83.33
program_053;0.0;Weakly tested;0.006729841232299805;9;0;0;50.0
program_057;0.0;Weakly tested;0.016676664352416992;10;0;0;66.67
program_060;0.0;Weakly tested;0.0;8;0;0;66.67
program_063;100.0;Well tested;0.031246662139892578;13;1;1;83.33
program_069;100.0;Well tested;1.4423739910125732;9;13;13;87.5
program_071;100.0;Well tested;0.1140904426574707;7;10;10;94.12
program_072;100.0;Well tested;0.033539533615112305;10;1;1;71.43
program_074;0.0;Weakly tested;0.012000560760498047;9;0;0;66.67
program_075;50.0;Weakly tested;0.03339219093322754;8;2;1;66.67
program_077;100.0;Well tested;0.047707319259643555;9;6;6;66.67
program_078;100.0;Well tested;0.030758142471313477;8;3;3;75.0
program_079;100.0;Well tested;0.03668522834777832;7;6;6;66.67
program_080;100.0;Well tested;0.04146075248718262;8;3;3;88.89
program_082;100.0;Well tested;0.04205822944641113;11;2;2;66.67
program_083;100.0;Well tested;0.02129817008972168;8;1;1;75.0
program_084;100.0;Well tested;0.04620218276977539;8;1;1;87.5
program_086;100.0;Well tested;0.01563262939453125;11;1;1;66.67
program_087;100.0;Well tested;0.5420718193054199;9;5;5;75.0
program_089;60.0;Weakly tested;20.241599798202515;8;15;5;72.73
program_091;100.0;Well tested;0.06330299377441406;9;6;6;85.71
program_092;100.0;Well tested;5.106682300567627;10;10;9;87.5
program_093;100.0;Well tested;0.03163647651672363;11;3;3;83.33
program_094;100.0;Well tested;0.03164076805114746;8;2;2;80.0
program_095;100.0;Well tested;0.031626224517822266;7;3;3;50.0
program_096;100.0;Well tested;0.07965207099914551;12;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.04728245735168457;14;3;2;85.71
program_099;100.0;Well tested;5.072674751281738;11;4;3;83.33
