Program;Mutation Score;Classification
program_005;100.0;Well tested
program_007;100.0;Well tested
program_009;66.66666666666666;Weakly tested
program_014;0;Weakly tested
program_020;88.88888888888889;Well tested
program_023;88.23529411764706;Well tested
program_030;100.0;Well tested
program_033;100.0;Well tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_041;100.0;Well tested
program_051;94.73684210526315;Well tested
program_053;0;Weakly tested
program_057;0;Weakly tested
program_060;0;Weakly tested
program_063;100.0;Well tested
program_069;100.0;Well tested
program_071;100.0;Well tested
program_072;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_077;100.0;Well tested
program_078;100.0;Well tested
program_079;100.0;Well tested
program_080;100.0;Well tested
program_082;100.0;Well tested
program_083;100.0;Well tested
program_084;100.0;Well tested
program_086;100.0;Well tested
program_087;100.0;Well tested
program_089;60.0;Weakly tested
program_091;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_094;100.0;Well tested
program_095;100.0;Well tested
program_096;100.0;Well tested
program_097;66.66666666666666;Weakly tested
program_099;100.0;Well tested
